site,domain,rank,backlinks,referring_domains,referring_ips,broken_backlinks
Psychology Today,psychologytoday.com,585,6931445,350496,110421,404155
Overeaters Anonymous,oa.org,474,254572,4113,2322,7668
Recovery.com,recovery.com,419,90370,7388,4012,4937
NEDA,nationaleatingdisorders.org,417,157176,27178,12743,2995
Noom,noom.com,370,62764,7231,4354,416
ERC,eatingrecoverycenter.com,369,30666,2809,1687,106
Eating Disorder Hope,eatingdisorderhope.com,369,50569,4731,2766,1060
Monte Nido,montenido.com,353,95609,1750,1190,4
Equip,equip.health,303,10839,1331,951,15
Center for Discovery,centerfordiscovery.com,301,7498,1829,1115,88
Emily Program,emilyprogram.com,283,6092,1814,1036,562
Alsana,alsana.com,280,9491,1048,558,39
Within,withinhealth.com,267,5865,2261,1253,45
Balanced Counseling,balancedcounselingsa.com,162,470,402,210,0
Monarch Behavioral,monarchbehavioral.net,153,174,128,94,0
Sage Bariatric,sagebariatric.com,150,328,145,106,0
BCC,bariatriccounselingcenter.com,127,126,82,66,0
Esperanza,esperanzaedc.com,113,109,75,56,0
OA San Antonio,oasanantonio.com,20,65,57,40,0
