keyword,topic,score,tx_volume,us_volume,cpc,competition,bcc_best_pos_gsc,gsc_impr,gsc_clicks,tracked_bucket,sources,competitors_ranking,variants
zepbound,glp-1 drug info,26641.5,74000,823000,24.13,HIGH,3.0,42,2,,gsc,,
arfid,night eating / arfid / other ED,8027.5,14800,201000,4.04,LOW,,,,,competitor:eatingrecoverycenter.com,eatingrecoverycenter #3,
arfids,night eating / arfid / other ED,8027.5,14800,201000,4.04,LOW,,,,,competitor:eatingrecoverycenter.com,eatingrecoverycenter #22,
bed disease,binge eating,5503.7,3600,40500,7.74,LOW,,,,,competitor:eatingrecoverycenter.com,eatingrecoverycenter #19,
eating disorder with binge eating,binge eating,5503.7,3600,40500,7.74,LOW,,,,,competitor:eatingrecoverycenter.com,eatingrecoverycenter #14,
bingeing,binge eating,4160.6,4400,40500,2.88,LOW,,,,,competitor:eatingrecoverycenter.com,eatingrecoverycenter #5,
overeaters anonymous,food addiction / overeating,2993.8,3600,49500,1.93,LOW,,,,,seed,,
mounjaro vs zepbound,glp-1 drug info,2022.3,1600,22200,11.65,MEDIUM,10.0,50,,,gsc,,
tirzepatide vs semaglutide,glp-1 drug info,1944.6,5400,49500,14.56,HIGH,2.0,16,,,gsc,,
gastroparesis,blog: gastroparesis,1766.4,22200,301000,1.63,LOW,1.8,16,,,gsc,,
dietitian and weight loss,nutrition / dietitian,1712.2,1900,22200,11.55,LOW,51.5,25,,,gsc,,
binge eater,binge eating,1689.6,1000,12100,9.08,LOW,,,,,competitor:eatingrecoverycenter.com,eatingrecoverycenter #4,
eating binges,binge eating,1689.6,1000,12100,9.08,LOW,,,,,competitor:eatingrecoverycenter.com,eatingrecoverycenter #6,
orthorexia,night eating / arfid / other ED,1515.4,4400,60500,0.74,LOW,,,,,competitor:eatingrecoverycenter.com,eatingrecoverycenter #6,
is zepbound the same as mounjaro,glp-1 drug info,1273.6,720,8100,9.72,MEDIUM,25.7,10,,,gsc,,
