type,url,detail,pages,first_seen,confirmed,suggest
internal link redirects,https://bariatriccounselingcenter.com/about,-> https://www.bariatriccounselingcenter.com/about/,https://www.bariatriccounselingcenter.com/ https://www.bariatriccounselingcenter.com/blog/ https://www.bariatriccounselingcenter.com/diet-and-nutrition/dietitians-or-nutritionists-breaking-down-the-differences/ https://www.bariatriccounselingcenter.com/eating-disorders/binge-eating-disorder-the-symptoms-causes-and-effective-treatment-options/ https://www.bariatriccounselingcenter.com/eating-disorders/emotional-eating-vs-disordered-eating-how-do-you-know-the-difference/ https://www.bariatriccounselingcenter.com/emotional-eating/emotional-eating-and-coping-skills/ https://www.bariatriccounselingcenter.com/emotional-eating/what-is-emotional-eating/ https://www.bariatriccounselingcenter.com/healthy-living-2/why-hydration-is-essential-for-weight-loss-and-management/ https://www.bariatriccounselingcenter.com/self-improvement/mental-health/coping-with-emotional-eating-building-an-emotional-first-aid-kit/ https://www.bariatriccounselingcenter.com/self-improvement/mental-health/how-adhd-impacts-eating-habits-and-weight-management/ https://www.bariatriccounselingcenter.com/self-improvement/mental-health/preparing-for-bariatric-surgery-a-mental-health-checklist/ https://www.bariatriccounselingcenter.com/self-improvement/weight-loss-journey-self-improvement/pre-bariatric-surgery-binge-eating-screening/,2026-09-22,True,https://www.bariatriccounselingcenter.com/about/
internal link redirects,https://bariatriccounselingcenter.com/testimonials,-> https://www.bariatriccounselingcenter.com/testimonials/,https://www.bariatriccounselingcenter.com/ https://www.bariatriccounselingcenter.com/blog/ https://www.bariatriccounselingcenter.com/diet-and-nutrition/dietitians-or-nutritionists-breaking-down-the-differences/ https://www.bariatriccounselingcenter.com/eating-disorders/binge-eating-disorder-the-symptoms-causes-and-effective-treatment-options/ https://www.bariatriccounselingcenter.com/eating-disorders/emotional-eating-vs-disordered-eating-how-do-you-know-the-difference/ https://www.bariatriccounselingcenter.com/emotional-eating/emotional-eating-and-coping-skills/ https://www.bariatriccounselingcenter.com/emotional-eating/what-is-emotional-eating/ https://www.bariatriccounselingcenter.com/healthy-living-2/why-hydration-is-essential-for-weight-loss-and-management/ https://www.bariatriccounselingcenter.com/self-improvement/mental-health/coping-with-emotional-eating-building-an-emotional-first-aid-kit/ https://www.bariatriccounselingcenter.com/self-improvement/mental-health/how-adhd-impacts-eating-habits-and-weight-management/ https://www.bariatriccounselingcenter.com/self-improvement/mental-health/preparing-for-bariatric-surgery-a-mental-health-checklist/ https://www.bariatriccounselingcenter.com/self-improvement/weight-loss-journey-self-improvement/pre-bariatric-surgery-binge-eating-screening/,2026-09-22,True,https://www.bariatriccounselingcenter.com/testimonials/
internal link redirects,https://bariatriccounselingcenter.com/interviews,-> https://www.bariatriccounselingcenter.com/interviews/,https://www.bariatriccounselingcenter.com/ https://www.bariatriccounselingcenter.com/blog/ https://www.bariatriccounselingcenter.com/diet-and-nutrition/dietitians-or-nutritionists-breaking-down-the-differences/ https://www.bariatriccounselingcenter.com/eating-disorders/binge-eating-disorder-the-symptoms-causes-and-effective-treatment-options/ https://www.bariatriccounselingcenter.com/eating-disorders/emotional-eating-vs-disordered-eating-how-do-you-know-the-difference/ https://www.bariatriccounselingcenter.com/emotional-eating/emotional-eating-and-coping-skills/ https://www.bariatriccounselingcenter.com/emotional-eating/what-is-emotional-eating/ https://www.bariatriccounselingcenter.com/healthy-living-2/why-hydration-is-essential-for-weight-loss-and-management/ https://www.bariatriccounselingcenter.com/self-improvement/mental-health/coping-with-emotional-eating-building-an-emotional-first-aid-kit/ https://www.bariatriccounselingcenter.com/self-improvement/mental-health/how-adhd-impacts-eating-habits-and-weight-management/ https://www.bariatriccounselingcenter.com/self-improvement/mental-health/preparing-for-bariatric-surgery-a-mental-health-checklist/ https://www.bariatriccounselingcenter.com/self-improvement/weight-loss-journey-self-improvement/pre-bariatric-surgery-binge-eating-screening/,2026-09-22,True,https://www.bariatriccounselingcenter.com/interviews/
internal link redirects,https://www.bariatriccounselingcenter.com/blog/what-is-emotional-eating/,-> https://www.bariatriccounselingcenter.com/emotional-eating/what-is-emotional-eating/,https://www.bariatriccounselingcenter.com/eating-disorders/binge-eating-disorder-the-symptoms-causes-and-effective-treatment-options/ https://www.bariatriccounselingcenter.com/self-improvement/mental-health/coping-with-emotional-eating-building-an-emotional-first-aid-kit/ https://www.bariatriccounselingcenter.com/self-improvement/mental-health/how-adhd-impacts-eating-habits-and-weight-management/,2026-09-22,True,https://www.bariatriccounselingcenter.com/emotional-eating/what-is-emotional-eating/
internal link redirects,https://www.bariatriccounselingcenter.com/ourprogram/meet-with-registered-dieticians/,-> https://www.bariatriccounselingcenter.com/ourprogram/meet-with-registered-dietitians/,https://www.bariatriccounselingcenter.com/self-improvement/mental-health/how-adhd-impacts-eating-habits-and-weight-management/,2026-09-22,True,https://www.bariatriccounselingcenter.com/ourprogram/meet-with-registered-dietitians/
unreachable external link,https://doi.org/10.1146/annurev-psych-113011-143750,HTTP 403,https://www.bariatriccounselingcenter.com/self-improvement/mental-health/how-adhd-impacts-eating-habits-and-weight-management/,2026-09-22,False,
unreachable external link,https://doi.org/10.1176/appi.ps.20240574,HTTP 403,https://www.bariatriccounselingcenter.com/self-improvement/mental-health/how-adhd-impacts-eating-habits-and-weight-management/,2026-09-22,False,
internal link redirects,https://www.bariatriccounselingcenter.com/2022/07/dr-sara-hamilton-a-holistic-approach-to-weight-loss/,-> https://www.bariatriccounselingcenter.com/staff/dr-sara-hamilton-a-holistic-approach-to-weight-loss/,https://www.bariatriccounselingcenter.com/emotional-eating/emotional-eating-and-coping-skills/,2026-09-22,True,https://www.bariatriccounselingcenter.com/staff/dr-sara-hamilton-a-holistic-approach-to-weight-loss/
internal link redirects,https://www.bariatriccounselingcenter.com/2023/11/what-is-emotional-eating/,-> https://www.bariatriccounselingcenter.com/emotional-eating/what-is-emotional-eating/,https://www.bariatriccounselingcenter.com/emotional-eating/emotional-eating-and-coping-skills/,2026-09-22,True,https://www.bariatriccounselingcenter.com/emotional-eating/what-is-emotional-eating/
unreachable external link,https://www.jandonline.org/action/showPdf?pii=S2212-2672%2814%2901886-3,HTTP 403,https://www.bariatriccounselingcenter.com/diet-and-nutrition/dietitians-or-nutritionists-breaking-down-the-differences/,2026-09-22,False,
