domain,class,rank,links_to,status,next_move,first_seen,notes
squarespace.com,other,100,Monarch Behavioral,new,Look at the site once; skip unless there is an obvious page for us.,2026-09-18,
applytojob.com,other,83,Monarch Behavioral,new,Look at the site once; skip unless there is an obvious page for us.,2026-09-18,
dosecompare.com,other,58,Sage Bariatric,new,Look at the site once; skip unless there is an obvious page for us.,2026-09-18,
lantern.llc,other,58,Balanced Counseling,new,Look at the site once; skip unless there is an obvious page for us.,2026-09-18,
cap4kids.org,directory,57,Balanced Counseling,new,Claim or update the listing and make sure it links to the site.,2026-09-18,
theprojectheal.org,association,57,Esperanza,new,Check membership or the member directory; ask for a member listing with a link.,2026-09-18,
e-digitaledition.com,media,51,Sage Bariatric,new,Pitch a local story or an expert quote from Todd; ask for a link when it runs.,2026-09-18,
storeboard.com,directory,51,Balanced Counseling;Sage Bariatric,new,Claim or update the listing and make sure it links to the site.,2026-09-18,
timebusinessnews.com,media,51,Balanced Counseling,new,Pitch a local story or an expert quote from Todd; ask for a link when it runs.,2026-09-18,
centraltexashub.org,association,27,Balanced Counseling,new,Check membership or the member directory; ask for a member listing with a link.,2026-09-18,
askdoctor.info,directory,23,Balanced Counseling,new,Claim or update the listing and make sure it links to the site.,2026-09-18,
mycarecoordinator.com,directory,23,Sage Bariatric,new,Claim or update the listing and make sure it links to the site.,2026-09-18,
elodiebarathe.com,other,14,Monarch Behavioral,new,Look at the site once; skip unless there is an obvious page for us.,2026-09-18,
edfstx.org,association,7,Esperanza,new,Check membership or the member directory; ask for a member listing with a link.,2026-09-18,
z1biz.com,other,7,Sage Bariatric,new,Look at the site once; skip unless there is an obvious page for us.,2026-09-18,
snapkalaw.com,other,3,Sage Bariatric,new,Look at the site once; skip unless there is an obvious page for us.,2026-09-18,
alideemcounseling.com,partner,0,Esperanza,new,Todd sends a short note asking for a resources or partners link and offers one back.,2026-09-18,
bestprosintown.com,directory,0,Monarch Behavioral;Sage Bariatric,new,Claim or update the listing and make sure it links to the site.,2026-09-18,
bing.com,directory,0,Monarch Behavioral;Sage Bariatric,new,Claim or update the listing and make sure it links to the site.,2026-09-18,
ce-go.com,other,0,Esperanza,new,Look at the site once; skip unless there is an obvious page for us.,2026-09-18,
dgdclinic.com,partner,0,,queued,Todd sends a short note asking for a resources or partners link and offers one back.,2026-09-18,referral partner
edtreatmentreview.com,directory,0,Esperanza,new,Claim or update the listing and make sure it links to the site.,2026-09-18,
enjoyingaging.com,other,0,Balanced Counseling,new,Look at the site once; skip unless there is an obvious page for us.,2026-09-18,
foxsanantonio.com,media,0,Esperanza,new,Pitch a local story or an expert quote from Todd; ask for a link when it runs.,2026-09-18,
gastroconsa.com,partner,0,,queued,Todd sends a short note asking for a resources or partners link and offers one back.,2026-09-18,referral partner
gatestherapy.com,partner,0,Esperanza,new,Todd sends a short note asking for a resources or partners link and offers one back.,2026-09-18,
ksat.com,media,0,Esperanza,new,Pitch a local story or an expert quote from Todd; ask for a link when it runs.,2026-09-18,
kut.org,media,0,Esperanza,new,Pitch a local story or an expert quote from Todd; ask for a link when it runs.,2026-09-18,
psychologytoday.com,other,0,,new,,2026-09-18,
rehabhive.us,directory,0,Esperanza,new,Claim or update the listing and make sure it links to the site.,2026-09-18,
rfamilymedicalgroup.com,partner,0,,queued,Todd sends a short note asking for a resources or partners link and offers one back.,2026-09-18,referral partner
tddctx.com,partner,0,,queued,Todd sends a short note asking for a resources or partners link and offers one back.,2026-09-18,referral partner
texasdigestive.com,partner,0,,queued,Todd sends a short note asking for a resources or partners link and offers one back.,2026-09-18,referral partner
texasstandard.org,media,0,Esperanza,new,Pitch a local story or an expert quote from Todd; ask for a link when it runs.,2026-09-18,
thenourishedmindcounseling.com,partner,0,Esperanza,new,Todd sends a short note asking for a resources or partners link and offers one back.,2026-09-18,
uiw.edu,edu_gov,0,Esperanza,new,Ask about a community resources page or a student referral list.,2026-09-18,
uplandfamilycounseling.com,partner,0,Balanced Counseling,new,Todd sends a short note asking for a resources or partners link and offers one back.,2026-09-18,
utsa.edu,edu_gov,0,Esperanza,new,Ask about a community resources page or a student referral list.,2026-09-18,
vitalitylifecounselingsa.com,partner,0,Esperanza,queued,Todd sends a short note asking for a resources or partners link and offers one back.,2026-09-18,
voyagesanantonio.com,other,0,Esperanza;Monarch Behavioral,new,Look at the site once; skip unless there is an obvious page for us.,2026-09-18,
wellnesscultura.org,association,0,Esperanza,new,Check membership or the member directory; ask for a member listing with a link.,2026-09-18,
zealousadvocate.com,other,0,Balanced Counseling,new,Look at the site once; skip unless there is an obvious page for us.,2026-09-18,
411nearbylocalbiz.com,spam,51,Balanced Counseling,skip,Skip.,2026-09-18,
nearmeshopsearch.com,spam,51,Balanced Counseling,skip,Skip.,2026-09-18,
nearmestoreconnect.com,spam,51,Balanced Counseling,skip,Skip.,2026-09-18,
biznearbynow.com,spam,10,Balanced Counseling,skip,Skip.,2026-09-18,
weightlosslook.blogspot.com,spam,8,Sage Bariatric,skip,Skip.,2026-09-18,
ahrefs-links.com,spam,0,Balanced Counseling;Sage Bariatric,skip,Skip.,2026-09-18,
algolinkers.com,spam,0,Esperanza,skip,Skip.,2026-09-18,
allistingdirectory.com,spam,0,Balanced Counseling;Sage Bariatric,skip,Skip.,2026-09-18,
anchorurl.cloud,spam,0,Esperanza;Balanced Counseling;Monarch Behavioral,skip,Skip.,2026-09-18,
archive-hu.com,spam,0,Esperanza;Balanced Counseling;Monarch Behavioral,skip,Skip.,2026-09-18,
australianwebdirectory.pro,spam,0,Esperanza;Monarch Behavioral;Sage Bariatric,skip,Skip.,2026-09-18,
backlinksboost.info,spam,0,Esperanza;Balanced Counseling,skip,Skip.,2026-09-18,
bestareabizfinder.com,spam,0,Balanced Counseling,skip,Skip.,2026-09-18,
bestfloridaseo.info,spam,0,Esperanza,skip,Skip.,2026-09-18,
bestlocalshopsnearme.com,spam,0,Balanced Counseling,skip,Skip.,2026-09-18,
bestnz-poker-casinoslot.com,spam,0,Esperanza;Balanced Counseling;Monarch Behavioral,skip,Skip.,2026-09-18,
bevyleonora.pages.dev,spam,0,Esperanza,skip,Skip.,2026-09-18,
businesslistingportal.com,spam,0,Balanced Counseling;Sage Bariatric,skip,Skip.,2026-09-18,
bye.fyi,spam,0,Balanced Counseling;Monarch Behavioral,skip,Skip.,2026-09-18,
cience.com,spam,0,Esperanza,skip,Skip.,2026-09-18,
citybiznet.net,spam,0,Balanced Counseling,skip,Skip.,2026-09-18,
citybizratings.com,spam,0,Balanced Counseling,skip,Skip.,2026-09-18,
citybizspot.com,spam,0,Balanced Counseling,skip,Skip.,2026-09-18,
clifflisting.com,spam,0,Esperanza;Balanced Counseling;Monarch Behavioral,skip,Skip.,2026-09-18,
clodura.ai,spam,0,Esperanza,skip,Skip.,2026-09-18,
cmocheatsheets.com,spam,0,Esperanza;Balanced Counseling;Monarch Behavioral,skip,Skip.,2026-09-18,
dupurgeniefr.com,spam,0,Esperanza;Balanced Counseling;Monarch Behavioral,skip,Skip.,2026-09-18,
eliterankdirectory.com,spam,0,Balanced Counseling;Sage Bariatric,skip,Skip.,2026-09-18,
enterprisedirectoryhub.com,spam,0,Balanced Counseling;Sage Bariatric,skip,Skip.,2026-09-18,
fastbase.com,spam,0,Esperanza,skip,Skip.,2026-09-18,
five.co.in,spam,0,Balanced Counseling,skip,Skip.,2026-09-18,
forbesstories.com,spam,0,Esperanza;Balanced Counseling;Monarch Behavioral,skip,Skip.,2026-09-18,
global-website.pages.dev,spam,0,Monarch Behavioral;Sage Bariatric,skip,Skip.,2026-09-18,
indexaward.com,spam,0,Esperanza;Monarch Behavioral,skip,Skip.,2026-09-18,
localdirectoryportal.com,spam,0,Balanced Counseling,skip,Skip.,2026-09-18,
mylocalstorehub.com,spam,0,Balanced Counseling,skip,Skip.,2026-09-18,
nearmeexpertfinder.com,spam,0,Balanced Counseling,skip,Skip.,2026-09-18,
nearmeguidefinder.com,spam,0,Balanced Counseling,skip,Skip.,2026-09-18,
nearmestoresonline.com,spam,0,Balanced Counseling,skip,Skip.,2026-09-18,
oppalerts.com,spam,0,Monarch Behavioral;Sage Bariatric,skip,Skip.,2026-09-18,
pagesearch.net,spam,0,Monarch Behavioral;Sage Bariatric,skip,Skip.,2026-09-18,
peekwire.com,spam,0,Balanced Counseling,skip,Skip.,2026-09-18,
powerlinkdirectory.com,spam,0,Balanced Counseling;Sage Bariatric,skip,Skip.,2026-09-18,
primecompanydirectory.com,spam,0,Balanced Counseling;Sage Bariatric,skip,Skip.,2026-09-18,
rankvanceseo.info,spam,0,Balanced Counseling;Sage Bariatric,skip,Skip.,2026-09-18,
ratingsnearme.com,spam,0,Balanced Counseling,skip,Skip.,2026-09-18,
runningwebsites.net,spam,0,Esperanza;Balanced Counseling,skip,Skip.,2026-09-18,
sanantoniospursroster.web.app,spam,0,Esperanza;Sage Bariatric,skip,Skip.,2026-09-18,
sandeyanastassia.pages.dev,spam,0,Esperanza,skip,Skip.,2026-09-18,
seodirectorypro.com,spam,0,Balanced Counseling;Sage Bariatric,skip,Skip.,2026-09-18,
shortenurls.eu,spam,0,Esperanza;Balanced Counseling;Monarch Behavioral;Sage Bariatric,skip,Skip.,2026-09-18,
simplewebdirectory.com,spam,0,Balanced Counseling;Monarch Behavioral,skip,Skip.,2026-09-18,
smartwebdirectory.com,spam,0,Balanced Counseling;Monarch Behavioral,skip,Skip.,2026-09-18,
techbumppy.com,spam,0,Esperanza;Balanced Counseling;Monarch Behavioral,skip,Skip.,2026-09-18,
thedocmag.com,spam,0,Esperanza;Balanced Counseling;Monarch Behavioral,skip,Skip.,2026-09-18,
towndirectoryportal.com,spam,0,Balanced Counseling,skip,Skip.,2026-09-18,
townserviceratings.com,spam,0,Balanced Counseling,skip,Skip.,2026-09-18,
tunca.org,spam,0,Esperanza;Balanced Counseling;Monarch Behavioral;Sage Bariatric,skip,Skip.,2026-09-18,
ufabettererm4.com,spam,0,Esperanza;Balanced Counseling;Monarch Behavioral,skip,Skip.,2026-09-18,
urls-shortener.eu,spam,0,Esperanza;Balanced Counseling;Monarch Behavioral;Sage Bariatric,skip,Skip.,2026-09-18,
wayranks.com,spam,0,Balanced Counseling;Sage Bariatric,skip,Skip.,2026-09-18,
wecelebrities.com,spam,0,Balanced Counseling,skip,Skip.,2026-09-18,
wheretobuybest.link,spam,0,Balanced Counseling;Monarch Behavioral,skip,Skip.,2026-09-18,
worldbusinesspromote.com,spam,0,Balanced Counseling;Sage Bariatric,skip,Skip.,2026-09-18,
