date,tab,row,type,platforms,status,has_image,purpose
2026-09-22,September Content Calendar,9,Mock post 0,LI GBP,LI=publer GBP=publer,False,mock
2026-09-23,September Content Calendar,10,Mock post 1,FB IG,FB=postiz IG=missing,True,mock
2026-09-24,September Content Calendar,11,Mock post 2,LI GBP,LI=missing GBP=missing,True,mock
2026-09-25,September Content Calendar,12,Mock post 3,FB IG,FB=missing IG=missing,False,mock
2026-09-26,September Content Calendar,13,Mock post 4,LI GBP,LI=publer GBP=publer,True,mock
2026-09-27,September Content Calendar,14,Mock post 5,FB IG,FB=missing IG=missing,True,mock
2026-09-28,September Content Calendar,15,Mock post 6,LI GBP,LI=missing GBP=missing,False,mock
2026-09-29,September Content Calendar,16,Mock post 7,FB IG,FB=missing IG=missing,True,mock
2026-09-30,September Content Calendar,17,Mock post 8,LI GBP,LI=publer GBP=publer,True,mock
2026-10-01,September Content Calendar,18,Mock post 9,FB IG,FB=missing IG=missing,False,mock
