date,owner,platform,followers,posts_90d,views_90d
2026-09-18,BCC,facebook,1240,9,5400
2026-09-18,BCC,instagram,860,9,
2026-09-18,BCC,youtube,410,5,340
2026-09-18,BCC,linkedin,95,,
2026-09-18,Equip,youtube,31000,9,36425
2026-09-18,Emily Program,youtube,31000,11,35650
2026-09-18,Monte Nido,youtube,8800,6,6820
2026-09-18,Within,youtube,2400,10,3180
2026-09-18,Alsana,youtube,2400,10,2880
2026-09-18,Center for Discovery,youtube,900,6,792
2026-09-18,ERC,youtube,0,6,340
2026-09-18,Esperanza,youtube,0,7,300
2026-09-18,BCC,facebook,1240,9,5400
2026-09-18,BCC,instagram,860,9,
2026-09-18,BCC,youtube,410,5,340
2026-09-18,BCC,linkedin,95,,
2026-09-18,Equip,youtube,31000,9,36425
2026-09-18,Emily Program,youtube,31000,11,35650
2026-09-18,Monte Nido,youtube,8800,6,6820
2026-09-18,Within,youtube,2400,10,3180
2026-09-18,Alsana,youtube,2400,10,2880
2026-09-18,Center for Discovery,youtube,900,6,792
2026-09-18,ERC,youtube,0,6,340
2026-09-18,Esperanza,youtube,0,7,300
